customer_id,signup_date,customer_segment
1,2024-04-12,Returning
2,2024-12-14,New
3,2024-09-27,Returning
4,2024-04-16,VIP
5,2024-03-12,Returning
6,2024-07-07,New
7,2024-01-21,Returning
8,2024-04-12,New
9,2024-05-01,Returning
10,2024-08-02,VIP
11,2024-11-26,New
12,2024-03-28,VIP
13,2024-04-09,VIP
14,2024-12-25,New
15,2024-05-31,New
16,2024-05-10,New
17,2024-05-29,New
18,2024-11-04,New
19,2024-09-14,Returning
20,2024-12-09,New
21,2024-10-20,New
22,2024-07-10,Returning
23,2024-10-03,New
24,2024-06-09,Returning
25,2024-11-09,New
26,2024-01-22,New
27,2024-09-09,Returning
28,2024-08-23,Returning
29,2024-12-10,Returning
30,2024-02-18,Returning
31,2024-02-28,Returning
32,2024-06-18,New
33,2024-07-06,New
34,2024-09-27,Returning
35,2024-07-08,Returning
36,2024-06-23,VIP
37,2024-02-20,New
38,2024-12-29,New
39,2024-02-24,Returning
40,2024-08-31,New
41,2024-11-15,VIP
42,2024-05-10,Returning
43,2024-11-02,New
44,2024-05-14,Returning
45,2024-01-21,Returning
46,2024-11-24,New
47,2024-06-15,VIP
48,2024-09-30,Returning
49,2024-03-29,Returning
50,2024-11-11,New
51,2024-01-14,Returning
52,2024-08-29,New
53,2024-09-21,New
54,2024-12-11,VIP
55,2024-02-22,New
56,2024-12-05,New
57,2024-04-01,VIP
58,2024-09-20,VIP
59,2024-02-04,Returning
60,2024-07-24,Returning
61,2024-03-21,New
62,2024-02-19,New
63,2024-12-25,New
64,2024-01-02,Returning
65,2024-02-23,Returning
66,2024-04-15,Returning
67,2024-09-16,Returning
68,2024-11-05,New
69,2024-07-09,New
70,2024-08-05,New
71,2024-02-13,Returning
72,2024-06-10,New
73,2024-07-20,Returning
74,2024-09-26,New
75,2024-12-16,New
76,2024-10-30,New
77,2024-09-27,Returning
78,2024-08-02,Returning
79,2024-09-08,New
80,2024-07-08,New
81,2024-10-22,Returning
82,2024-07-31,New
83,2024-07-26,Returning
84,2024-08-24,Returning
85,2024-12-03,New
86,2024-02-22,New
87,2024-10-06,VIP
88,2024-08-04,New
89,2024-09-08,New
90,2024-07-06,Returning
91,2024-02-10,VIP
92,2024-06-05,VIP
93,2024-01-15,Returning
94,2024-10-27,New
95,2024-03-05,New
96,2024-12-10,Returning
97,2024-11-22,Returning
98,2024-01-09,New
99,2024-12-09,VIP
100,2024-05-08,New
101,2024-05-15,New
102,2024-03-03,New
103,2024-05-18,New
104,2024-03-21,New
105,2024-06-11,New
106,2024-10-15,New
107,2024-09-17,Returning
108,2024-08-18,Returning
109,2024-02-10,Returning
110,2024-01-28,VIP
111,2024-05-14,New
112,2024-07-19,New
113,2024-11-23,Returning
114,2024-09-24,New
115,2024-02-02,VIP
116,2024-02-17,New
117,2024-03-02,VIP
118,2024-08-03,New
119,2024-10-19,Returning
120,2024-04-08,Returning
121,2024-06-20,VIP
122,2024-12-25,New
123,2024-08-01,Returning
124,2024-02-04,VIP
125,2024-08-14,Returning
126,2024-04-10,Returning
127,2024-05-10,Returning
128,2024-09-13,New
129,2024-01-05,Returning
130,2024-08-05,Returning
131,2024-09-11,VIP
132,2024-12-24,New
133,2024-10-09,New
134,2024-07-25,VIP
135,2024-01-15,Returning
136,2024-12-11,New
137,2024-02-11,Returning
138,2024-06-27,New
139,2024-03-03,New
140,2024-12-17,New
141,2024-08-18,New
142,2024-08-28,Returning
143,2024-02-21,New
144,2024-04-05,VIP
145,2024-08-09,VIP
146,2024-08-18,Returning
147,2024-08-24,Returning
148,2024-05-22,New
149,2024-06-19,Returning
150,2024-01-29,Returning
151,2024-02-05,New
152,2024-01-13,VIP
153,2024-06-08,Returning
154,2024-11-22,VIP
155,2024-07-05,Returning
156,2024-08-30,Returning
157,2024-03-26,New
158,2024-10-10,VIP
159,2024-03-06,Returning
160,2024-06-18,New
161,2024-02-14,New
162,2024-03-02,New
163,2024-05-13,Returning
164,2024-10-10,VIP
165,2024-01-28,New
166,2024-04-17,Returning
167,2024-02-13,New
168,2024-12-05,VIP
169,2024-10-12,Returning
170,2024-11-26,Returning
171,2024-05-07,New
172,2024-12-13,New
173,2024-08-18,New
174,2024-07-08,New
175,2024-08-12,Returning
176,2024-10-09,Returning
177,2024-04-30,VIP
178,2024-04-25,VIP
179,2024-08-20,Returning
180,2024-09-15,Returning
181,2024-12-24,VIP
182,2024-07-16,Returning
183,2024-05-16,New
184,2024-11-13,New
185,2024-06-13,New
186,2024-08-12,VIP
187,2024-11-02,Returning
188,2024-08-21,New
189,2024-06-20,Returning
