transaction_id,customer_id,transaction_date,amount,payment_method
1,481,2024-06-04,886.13,Credit Card
2,18,2024-02-16,1779.53,Credit Card
3,490,2024-11-07,505.75,Bank Transfer
4,497,2024-05-18,1606.37,Credit Card
5,186,2024-05-21,1032.94,PayPal
6,117,2024-11-30,505.68,Bank Transfer
7,257,2024-01-14,1059.31,Credit Card
8,278,2024-12-21,398.93,Credit Card
9,95,2024-09-15,225.28,PayPal
10,407,2024-08-23,1677.97,PayPal
11,392,2024-01-07,1401.65,Bank Transfer
12,413,2024-02-08,417.91,Credit Card
13,428,2024-07-03,1885.17,Credit Card
14,115,2024-04-24,58.55,Credit Card
15,494,2024-04-19,673.23,PayPal
16,62,2024-03-05,53.09,Credit Card
17,275,2024-08-18,293.17,PayPal
18,315,2024-10-07,368.36,Credit Card
19,497,2024-01-31,1622.57,PayPal
20,124,2024-03-26,1986.15,Credit Card
21,80,2024-05-17,1735.97,Credit Card
22,147,2024-03-17,1273.91,Bitcoin
23,485,2024-05-16,1448.62,Credit Card
24,22,2024-05-01,1050.41,Credit Card
25,83,2024-09-20,850.86,PayPal
26,324,2024-04-06,1387.42,PayPal
27,5,2024-01-19,1946.5,Credit Card
28,261,2024-10-12,67.5,PayPal
29,409,2024-01-09,635.03,Credit Card
30,280,2024-03-23,666.82,Credit Card
31,129,2024-02-16,834.36,Credit Card
32,114,2024-03-30,1257.52,Bank Transfer
33,284,2024-01-01,1032.37,Bitcoin
34,47,2024-06-10,47.27,Credit Card
35,341,2024-06-01,829.1,Credit Card
36,188,2024-01-01,1242.7,Credit Card
37,19,2024-05-25,1014.6,Credit Card
38,87,2024-06-09,1745.4,Bitcoin
39,142,2024-05-14,803.21,Credit Card
40,251,2024-10-12,34.99,Credit Card
41,326,2024-03-17,576.95,Credit Card
42,480,2024-03-21,279.99,Credit Card
43,370,2024-09-25,507.96,Credit Card
44,480,2024-09-25,730.56,PayPal
45,8,2024-02-11,1356.54,Credit Card
46,37,2024-05-03,655.1,Credit Card
47,86,2024-08-17,1769.38,Credit Card
48,72,2024-12-22,606.14,PayPal
49,381,2024-07-20,282.5,Credit Card
50,486,2024-11-29,346.04,Credit Card
51,266,2024-04-16,1869.81,Credit Card
52,67,2024-10-18,915.08,Credit Card
53,141,2024-10-17,812.22,Credit Card
54,295,2024-06-22,147.11,Credit Card
55,64,2024-11-07,1469.31,Credit Card
56,30,2024-03-27,1392.36,Credit Card
57,388,2024-01-05,757.72,Credit Card
58,45,2024-06-20,1386.61,PayPal
59,134,2024-04-30,741.23,PayPal
60,16,2024-06-04,155.58,Credit Card
61,278,2024-03-27,1478.82,PayPal
62,219,2024-04-07,1930.75,PayPal
63,277,2024-05-14,1300.1,Bank Transfer
64,221,2024-01-07,560.16,PayPal
65,193,2024-09-16,547.14,PayPal
66,158,2024-12-29,1858.67,PayPal
67,24,2024-02-01,613.55,Credit Card
68,320,2024-01-28,1538.7,Credit Card
69,141,2024-09-16,1289.4,Credit Card
70,222,2024-08-31,1189.28,Credit Card
71,26,2024-12-30,370.34,Credit Card
72,98,2024-09-20,78.48,Credit Card
73,276,2024-05-21,982.47,Credit Card
74,61,2024-01-30,1976.44,Bank Transfer
75,380,2024-05-09,399.56,Credit Card
76,243,2024-09-22,1078.38,PayPal
77,390,2024-03-10,1345.25,Bank Transfer
78,427,2024-04-28,972.52,PayPal
79,433,2024-11-22,1018.8,Credit Card
80,9,2024-03-10,1325.84,PayPal
81,384,2024-07-26,1631.66,Credit Card
82,357,2024-03-31,673.24,Credit Card
83,421,2024-04-29,1799.56,Bitcoin
84,272,2024-07-25,974.95,Credit Card
85,260,2024-09-12,1327.14,Bitcoin
86,32,2024-02-04,221.96,Credit Card
87,340,2024-05-03,990.03,PayPal
88,93,2024-04-21,42.05,Credit Card
89,479,2024-07-25,788.14,Bank Transfer
90,128,2024-04-11,118.42,Credit Card
91,237,2024-07-12,1794.99,Bank Transfer
92,17,2024-08-28,1348.88,Credit Card
93,41,2024-05-26,1585.83,PayPal
94,473,2024-05-11,940.68,PayPal
95,301,2024-08-07,1705.28,Credit Card
96,272,2024-12-03,1747.35,PayPal
97,276,2024-04-13,720.07,Credit Card
98,42,2024-02-10,759.94,Credit Card
99,266,2024-02-25,1021.4,PayPal
100,52,2024-11-06,94.06,Bank Transfer
101,188,2024-09-06,1991.58,PayPal
102,432,2024-08-29,724.77,PayPal
103,151,2024-05-06,946.98,PayPal
104,244,2024-05-29,1511.97,Bitcoin
105,289,2024-11-26,602.05,Bank Transfer
106,491,2024-12-01,411.25,PayPal
107,127,2024-05-28,263.63,Credit Card
108,205,2024-06-17,1060.75,Credit Card
109,409,2024-02-14,20.94,Credit Card
110,306,2024-03-24,1421.95,Bitcoin
111,357,2024-01-08,928.17,Bank Transfer
112,100,2024-04-16,1068.33,PayPal
113,344,2024-09-21,533.78,Bank Transfer
114,454,2024-05-25,364.72,Credit Card
115,79,2024-01-31,1402.98,PayPal
116,183,2024-08-31,428.44,PayPal
117,98,2024-02-04,1562.37,Credit Card
118,68,2024-09-03,415.31,PayPal
119,334,2024-01-18,1229.24,Credit Card
120,388,2024-01-24,1291.31,PayPal
121,28,2024-12-07,1016.23,PayPal
122,29,2024-10-30,1993.61,Bitcoin
123,338,2024-11-11,757.93,PayPal
124,122,2024-12-14,1767.81,Credit Card
125,212,2024-10-04,346.76,Credit Card
126,176,2024-01-30,681.05,Credit Card
127,105,2024-05-22,299.28,Credit Card
128,480,2024-10-03,1211.21,PayPal
129,72,2024-12-21,1280.13,Credit Card
130,491,2024-01-12,912.47,PayPal
131,110,2024-07-21,1443.12,Credit Card
132,113,2024-09-06,1736.63,Credit Card
133,397,2024-04-12,1555.35,Credit Card
